Perioden;Regios;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
2012;Zeeland;475;125;375;98;220;116;180;95;255;133;195;101;0;0;0;0;0;0;10;10;20;185;145;330;280;220;500;74887;19729;34075;7308;40812;12421
2012;Noord-Brabant;3740;152;2685;109;1555;126;1130;92;2185;177;1560;126;0;0;0;10;5;15;80;60;140;1570;1090;2660;2080;1535;3615;410151;94185;185675;33502;224476;60683
2012;Limburg;2590;231;1880;167;990;178;710;128;1600;283;1170;207;5;5;10;15;10;25;65;40;105;955;660;1615;1550;1170;2720;214873;50930;96491;17803;118382;33127
2013;Nederland;25975;155;17820;106;10395;125;7125;86;15580;184;10695;126;5;5;10;55;45;100;625;455;1080;9820;6460;16280;15465;10860;26325;2804624;683099;1260031;243997;1544593;439102
2013;Groningen;2070;355;1460;251;785;270;565;194;1285;439;895;306;0;0;0;0;0;0;35;20;55;735;490;1225;1300;950;2250;98944;24477;44460;8581;54484;15896
2013;Friesland;500;78;395;61;220;69;170;52;280;87;225;70;0;0;0;0;0;0;15;15;30;230;180;410;255;205;460;118013;28310;53892;10186;64121;18124
2013;Drenthe;925;189;645;132;375;154;260;108;550;224;385;155;0;0;0;5;0;5;25;20;45;370;240;610;525;385;910;95979;23365;43497;8520;52482;14845
2013;Overijssel;1460;128;1015;89;585;103;400;71;875;153;610;107;0;0;0;0;0;0;35;25;60;640;420;1060;780;570;1350;190272;46506;85437;16489;104835;30017
2013;Flevoland;225;57;175;44;100;51;75;38;125;63;100;49;0;0;0;5;5;10;10;5;15;110;75;185;105;90;195;43438;9466;20262;3628;23176;5838
2013;Gelderland;1595;79;955;47;680;68;425;43;915;90;530;52;0;0;0;0;0;0;55;35;90;665;380;1045;875;535;1410;347548;83781;155319;29676;192229;54105
2013;Utrecht;1265;101;975;78;525;86;415;68;740;116;560;88;0;0;0;15;10;25;70;55;125;500;370;870;680;535;1215;182647;45241;80462;15970;102185;29271
2013;Noord-Holland ;7325;268;4585;168;3015;224;1865;139;4310;311;2720;196;0;0;0;5;5;10;125;80;205;2535;1520;4055;4660;2980;7640;431319;105789;193209;37947;238110;67842
2013;Zuid-Holland ;4195;118;3065;86;1490;84;1090;62;2710;150;1975;109;0;0;0;10;5;15;100;90;190;1380;980;2360;2705;1995;4700;569841;145452;253027;51317;316814;94135
2013;Zeeland;380;100;250;66;175;92;115;60;210;109;140;72;0;0;0;0;0;0;10;10;20;155;100;255;220;140;360;77656;19977;35491;7455;42165;12522
2013;Noord-Brabant;3585;145;2610;105;1500;121;1100;89;2085;168;1510;122;0;0;0;10;5;15;85;60;145;1555;1065;2620;1935;1480;3415;426697;98088;194459;35505;232238;62583
2013;Limburg;2440;218;1690;151;950;171;645;116;1490;264;1050;186;0;0;0;10;10;20;60;45;105;955;645;1600;1420;995;2415;222270;52647;100516;18723;121754;33924
2014;Nederland;21070;125;15630;93;8600;103;6320;76;12475;147;9310;109;0;0;0;45;35;80;490;350;840;7995;5700;13695;12540;9545;22085;2899106;697171;1311279;252459;1587827;444712
2014;Groningen;2250;385;1505;258;910;313;600;207;1340;457;905;309;0;0;0;0;0;0;40;25;65;835;535;1370;1375;950;2325;101836;24812;46139;8866;55697;15946
2014;Friesland;410;63;370;57;175;54;155;48;235;73;215;67;0;0;0;0;0;0;15;10;25;180;160;340;215;200;415;121604;28657;55852;10387;65752;18270
2014;Drenthe;1100;225;735;150;455;188;300;125;645;262;435;176;0;0;0;5;5;10;25;15;40;455;280;735;620;435;1055;99200;23889;45199;8830;54001;15059
2014;Overijssel;985;86;735;65;425;74;305;53;560;98;435;76;0;0;0;0;0;0;30;20;50;415;300;715;540;415;955;196151;47647;88659;17097;107492;30550
2014;Flevoland;135;33;75;18;65;31;35;18;70;35;35;18;0;0;0;0;0;0;10;5;15;85;45;130;40;20;60;45694;9629;21367;3701;24327;5928
