Regios;Perioden;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot per 100.000 inwoners lopend 0-20;Tot gesloten 0-20;Tot per 100.000 inwoners gesloten 0-20;Tot lopend 20-40;Tot per 100.000 inwoners lopend 20-40;Tot gesloten 20-40;Tot per 100.000 inwoners gesloten 20-40;Tot lopend 40-60;Tot per 100.000 inwoners lopend 40-60;Tot gesloten 40-60;Tot per 100.000 inwoners gesloten 40-60;Tot lopend 60-80;Tot per 100.000 inwoners lopend 60-80;Tot gesloten 60-80;Tot per 100.000 inwoners gesloten 60-80;Tot lopend 80-ouder;Tot per 100.000 inwoners lopend 80-ouder;Tot gesloten 80-ouder;Tot per 100.000 inwoners gesloten 80-ouder;Tot lopend mannen 0-20;Tot per 100.000 inwoners lopend mannen 0-20;Tot gesloten mannen 0-20;Tot per 100.000 inwoners gesloten mannen 0-20;Tot lopend mannen 20-40;Tot per 100.000 inwoners lopend mannen 20-40;Tot gesloten mannen 20-40;Tot per 100.000 inwoners gesloten mannen 20-40;Tot lopend mannen 40-60;Tot per 100.000 inwoners lopend mannen 40-60;Tot gesloten mannen 40-60;Tot per 100.000 inwoners gesloten mannen 40-60;Tot lopend mannen 60-80;Tot per 100.000 inwoners lopend mannen 60-80;Tot gesloten mannen 60-80;Tot per 100.000 inwoners gesloten mannen 60-80;Tot lopend mannen 80-ouder;Tot per 100.000 inwoners lopend mannen 80-ouder;Tot gesloten mannen 80-ouder;Tot per 100.000 inwoners gesloten mannen 80-ouder;Tot lopend vrouwen 0-20;Tot per 100.000 inwoners lopend vrouwen 0-20;Tot gesloten vrouwen 0-20;Tot per 100.000 inwoners gesloten vrouwen 0-20;Tot lopend vrouwen 20-40;Tot per 100.000 inwoners lopend vrouwen 20-40;Tot gesloten vrouwen 20-40;Tot per 100.000 inwoners gesloten vrouwen 20-40;Tot lopend vrouwen 40-60;Tot per 100.000 inwoners lopend vrouwen 40-60;Tot gesloten vrouwen 40-60;Tot per 100.000 inwoners gesloten vrouwen 40-60;Tot lopend vrouwen 60-80;Tot per 100.000 inwoners lopend vrouwen 60-80;Tot gesloten vrouwen 60-80;Tot per 100.000 inwoners gesloten vrouwen 60-80;Tot lopend vrouwen 80-ouder;Tot per 100.000 inwoners lopend vrouwen 80-ouder;Tot gesloten vrouwen 80-ouder;Tot per 100.000 inwoners gesloten vrouwen 80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
Friesland;2013;500;78;395;61;220;69;170;52;280;87;225;70;0;0;0;0;0;0;0;0;15;9;15;7;230;169;180;132;255;822;205;652;0;0;0;0;0;0;0;0;10;8;5;5;125;183;90;137;90;810;70;632;0;0;0;0;0;0;0;0;10;10;10;9;105;154;85;127;165;829;130;663;118013;28310;53892;10186;64121;18124
Friesland;2014;410;63;370;57;175;54;155;48;235;73;215;67;0;0;0;0;0;0;0;0;15;8;10;5;180;130;160;117;215;679;200;632;0;0;0;0;0;0;0;0;5;6;5;4;95;138;85;122;75;638;70;586;0;0;0;0;0;0;0;0;5;8;5;7;85;121;80;111;140;703;130;654;121604;28657;55852;10387;65752;18270
Friesland;2015;135;21;115;17;55;17;45;14;75;24;70;21;0;0;0;0;0;0;0;0;10;4;5;2;70;50;60;42;55;163;50;154;0;0;0;0;0;0;0;0;5;3;5;3;45;61;30;44;10;83;10;83;0;0;0;0;0;0;0;0;5;7;0;0;30;39;30;39;45;210;40;190;125094;29342;57791;10752;67303;18590
Friesland;2016;140;21;120;19;30;9;25;7;110;34;100;31;0;0;0;0;0;0;0;0;15;8;5;2;85;60;80;56;40;114;40;114;0;0;0;0;0;0;0;0;5;5;0;0;25;35;25;34;0;0;0;0;0;0;0;0;0;0;0;0;10;10;5;4;60;85;55;78;40;183;40;183;127902;29892;59338;11154;68564;18738
Gelderland;2009;2695;135;1865;93;1095;111;785;80;1600;158;1080;107;0;0;0;0;10;2;10;2;75;13;45;8;1100;297;745;202;1510;1823;1065;1285;0;0;0;0;10;4;5;3;45;15;30;10;525;296;370;209;515;1841;375;1339;0;0;0;0;0;0;0;0;30;11;15;6;575;299;375;195;995;1814;690;1256;302647;74407;131159;25004;171488;49403
Gelderland;2010;2460;123;1790;89;985;100;730;74;1475;145;1060;105;0;0;0;0;10;2;5;1;80;13;65;11;925;244;660;175;1445;1694;1060;1239;0;0;0;0;5;3;5;1;45;15;40;13;435;239;320;177;500;1705;365;1245;0;0;0;0;5;1;5;1;35;12;25;9;490;249;340;173;945;1688;695;1235;310939;76635;135596;26049;175343;50586
Gelderland;2011;1965;98;1545;77;810;82;610;62;1160;114;935;92;0;0;0;0;10;2;10;2;70;11;45;8;720;186;550;142;1165;1327;945;1076;0;0;0;0;10;3;5;3;45;16;30;10;350;188;255;137;400;1317;320;1045;0;0;0;0;0;0;0;0;20;7;15;5;370;185;290;146;765;1332;625;1093;318269;78993;139750;27267;178519;51726
Gelderland;2012;1320;65;975;48;560;56;420;42;760;74;555;55;0;0;0;0;5;1;5;1;65;11;45;8;510;129;365;92;740;817;560;617;0;0;0;0;0;0;0;0;35;12;35;11;255;132;180;94;270;841;200;634;0;0;0;0;0;0;0;0;25;8;15;5;260;127;185;90;475;806;360;610;333582;81344;147899;28408;185683;52936
Gelderland;2013;1595;79;955;47;680;68;425;43;915;90;530;52;0;0;0;0;0;0;0;0;55;9;35;6;665;163;380;94;875;948;535;580;0;0;0;0;0;0;0;0;30;9;15;5;350;179;205;104;300;902;205;615;0;0;0;0;0;0;0;0;25;8;20;7;310;149;175;84;580;975;335;561;347548;83781;155319;29676;192229;54105
Gelderland;2014;1345;66;990;49;550;55;410;41;795;77;575;56;0;0;0;0;0;0;0;0;40;7;35;6;540;130;380;91;760;802;575;605;0;0;0;0;0;0;0;0;20;7;20;6;275;137;205;100;250;728;190;554;0;0;0;0;0;0;0;0;20;6;15;5;265;124;175;83;510;842;385;634;359684;85613;161800;30759;197884;54854
